award_id,dollars_obligated,awarding_agency_name,recipient_duns,recipient_name,contract_pricing_code,contract_pricing,naics_code,naics_description,extent_competed,solicitation_procedures,awarding_agency_abbr
36C24819D0009,0,DEPARTMENT OF VETERANS AFFAIRS (VA),195823570,"AGILENT TECHNOLOGIES, INC.",J,FIRM FIXED PRICE,334510,ELECTROMEDICAL AND ELECTROTHERAPEUTIC APPARATUS MANUFACTURING,NOT COMPETED,ONLY ONE SOURCE,VA
36C25019D0016,0,DEPARTMENT OF VETERANS AFFAIRS (VA),51154354,"ADVANT-EDGE SOLUTIONS OF MIDDLE ATLANTIC, INC.",J,FIRM FIXED PRICE,562211,HAZARDOUS WASTE TREATMENT AND DISPOSAL,COMPETED UNDER SAP,SIMPLIFIED ACQUISITION,VA
VA24414C0449,56760,DEPARTMENT OF VETERANS AFFAIRS (VA),51154354,"ADVANT-EDGE SOLUTIONS OF MIDDLE ATLANTIC, INC.",J,FIRM FIXED PRICE,562998,ALL OTHER MISCELLANEOUS WASTE MANAGEMENT SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,VA
VA24414C0450,291625.47,DEPARTMENT OF VETERANS AFFAIRS (VA),51154354,"ADVANT-EDGE SOLUTIONS OF MIDDLE ATLANTIC, INC.",J,FIRM FIXED PRICE,562998,ALL OTHER MISCELLANEOUS WASTE MANAGEMENT SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,VA
VA24514C0099,2500212,DEPARTMENT OF VETERANS AFFAIRS (VA),51154354,"ADVANT-EDGE SOLUTIONS OF MIDDLE ATLANTIC, INC.",J,FIRM FIXED PRICE,562211,HAZARDOUS WASTE TREATMENT AND DISPOSAL,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,VA
VA78617C0013,2921600,DEPARTMENT OF VETERANS AFFAIRS (VA),836461798,"GREENLEAF SERVICES, INC.",J,FIRM FIXED PRICE,561730,LANDSCAPING SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,VA
12619719P0005,17128.8,DEPARTMENT OF AGRICULTURE (USDA),195823570,"AGILENT TECHNOLOGIES, INC.",J,FIRM FIXED PRICE,334516,ANALYTICAL LABORATORY INSTRUMENT MANUFACTURING,NOT COMPETED UNDER SAP,SIMPLIFIED ACQUISITION,USDA
15B21719PUA110002,27550.12,DEPARTMENT OF JUSTICE (DOJ),11038254,"HY-POINT DAIRY FARMS, INC.",J,FIRM FIXED PRICE,311511,FLUID MILK MANUFACTURING,COMPETED UNDER SAP,SIMPLIFIED ACQUISITION,DOJ
36C24219P0003,44148,DEPARTMENT OF VETERANS AFFAIRS (VA),965863215,"EXECUTIVE BROADBAND COMMUNICATIONS, LLC",K,FIXED PRICE WITH ECONOMIC PRICE ADJUSTMENT,515210,CABLE AND OTHER SUBSCRIPTION PROGRAMMING,COMPETED UNDER SAP,SIMPLIFIED ACQUISITION,VA
47QMCD19PS164,7894.7,GENERAL SERVICES ADMINISTRATION (GSA),609798884,B&G AUTO,J,FIRM FIXED PRICE,811121,"AUTOMOTIVE BODY, PAINT, AND INTERIOR REPAIR AND MAINTENANCE",COMPETED UNDER SAP,SIMPLIFIED ACQUISITION,GSA
70Z02719P5AJ02800,0,DEPARTMENT OF HOMELAND SECURITY (DHS),74503843,WASTE MANAGEMENT OF DELAWARE INC.,J,FIRM FIXED PRICE,562111,SOLID WASTE COLLECTION,NOT COMPETED,ONLY ONE SOURCE,DHS
VA24617P5246,13600,DEPARTMENT OF VETERANS AFFAIRS (VA),54727995,"GARDA CL ATLANTIC, INC.",J,FIRM FIXED PRICE,561613,ARMORED CAR SERVICES,COMPETED UNDER SAP,SIMPLIFIED ACQUISITION,VA
VA24717P2229,16512,DEPARTMENT OF VETERANS AFFAIRS (VA),195823570,"AGILENT TECHNOLOGIES, INC.",J,FIRM FIXED PRICE,811219,OTHER ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE,NOT COMPETED,ONLY ONE SOURCE,VA
36C24218N9152,121132.46,DEPARTMENT OF VETERANS AFFAIRS (VA),51154354,"ADVANT-EDGE SOLUTIONS OF MIDDLE ATLANTIC, INC.",J,FIRM FIXED PRICE,562112,HAZARDOUS WASTE COLLECTION,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,VA
